sentence,model_output
"We propose the
        following major building blocks to establish a VCD networked package:",We suggest these main parts for a connected package.
"The
            compiled VCD network package only contains both data types and provides references to retrieve
            attestations when necessary (i.e.",Compiled package has data types and helps find proofs when needed.
"The VCD contains references in the meaning of
            processing instructions for the contracting authority to retrieve the requested attestations on
            individual basis at the time of awarding.",The VCD has instructions for getting documents from the contractor when a contract is awarded.
"The reference or processing instruction includes a
            mechanism to grant access rights to the contracting authority in order to retrieve these attestations
            within a certain period of time.",The instruction lets the contracting authority get the attestations quickly.
"When the National VCD Service Provider receives a
            valid request at the time of awarding from a contracting authority mandated by the economic
            operator he delivers the requested evidence to the contracting authority.","When they get a good request, they send the proof to the person who asked for it."
"Evidences (and in particular those that
            are sufficiently described through context specific data) could be validated by a national VCD
            service provider by putting validation values into a VCD.",A national VCD service provider can validate evidence with a VCD.
"Stage 4 does not contain a modelled use case diagram that clarifies the system interaction and a
      detailed description of requirements because it mainly relies on the functions introduced in the
      previous stages and there are no pilots yet for this stage.","Stage 4 doesn't have a diagram or details about what the system does, because it uses things from earlier stages and there are no tests yet."
"Functions in
      round brackets ( ) are new to this use case:
      The economic operator requests a VCD on the basis of stages 1, 2 and 3 at the National Service
      Provider.",The economic operator asks for something from the National Service Provider.
"The National Service Provider starts the VCD creation process by requesting attestations
      from Trusted Attestation Services that are connected to context specific networks.",The provider asks for proof from trusted services on special networks.
"Trusted Attestation
      Services provide requested attestations to a local database or repository that is owned by the National
      VCD Service Provider (store attestation).",Trusted services send needed proofs to a special storage place owned by the National provider.
"The VCD system enables the economic operator to mandate
      the contracting authority to access his attestations within the VCD system if the attestations are
      sufficiently described through context specific data (mandate to request attestation through VCD
      specific reference) and the VCD system creates a specific reference into the VCD itself (set reference
      to attestation to VCD).",The operator can ask for proof from the authority if it's described well enough.
"When all attestations are compiled by the VCD system the economic operator can submit its VCD to
      the contracting authority.","When all papers are together, the company can send its report to the government."
"The contracting authority can now request attestations through the reference
      that is specified in the VCD (request attestation on individual basis).",The authority can ask for proof through a specific number.
"The VCD System checks whether
      the contracting authority has sufficient access rights and has been mandated by the economic
      operator to retrieve that attestation (check access rights).",The system checks if someone has permission and was told to get it.
"Afterwards the VCD system delivers the
      attestation to the contracting authority (retrieve attestation) or informs the economic about a request
      that cannot be handled adequately (conflict resolution).","Afterwards, we give the proof to the person in charge or tell them if we can't help with their request."
"The economic operator than may have to
      provide an additional translation to the contracting authority within a certain period of time.",Provide translation in given time.
"This chapter contains the major feature, requirements and quality attributes which are derived from the
       vision statement and the use-case description of stage 4 and which extend the features, requirements
       and quality attributes of the previous stages.",This chapter has main points from earlier stages.
The VCD system MUST provide functionality and an interface to the economic operator that enables him to mandate a certain contracting authority to request attestations on demand.,The system must let the operator ask for proof when needed.
The VCD system MUST detect which attestations can be used by this feature (e.g.,VCD must find usable attestations for this feature.
they have to be sufficiently described through context specific data and structural data of evidence).,They need clear details from their situation and proof.
The VCD system MUST provide a functionality that enables National VCD Service Providers to store attestations.,VCD must store attestations.
The VCD system MUST ensure that a contracting authority is able to request attestations via the provided reference (including time-restrictions).,The system must let authorities ask for proof with a reference number and time limits.
"The functionality for referencing to attestations within the VCD MUST be implemented, either VCD-specific or contracting authority-specific, in order to approve whether the contracting authority has sufficient rights for requesting the attestations.",The system must allow references to attestations in the contract.
The VCD system MUST provide a functionally to check whether a contracting authority has sufficient rights and has been mandated by the economic operator to retrieve attestations.,The system must check if an authority has the right to get proof.
The VCD system MUST provide a functionality and an interface that enables contracting authorities to retrieve the attestation from the storage.,The VCD system must get the attestation from storage.
The VCD system MUST ensure that the attestation that is requested by the contracting authority is still valid at the time of awarding or when the Call for Tender is closed.,The VCD system must check if the requested document is still good until the bidding ends.
The VCD system MUST provide a functionality that initiates a conflict resolution process between economic operator and contracting authority if errors occur or when certain attestation or a translation cannot be delivered on demand.,"If there are problems, the system must help resolve them between the person running the business and the government agency."
The VCD system SHOULD provide a functionality to approve attestations through validation data and to make this approval visible within a VCD networked package when a National VCD Service provider takes the role of a national validation point in accordance with Article 52 (1) of Directive 2004/18/EC and EFTA EEA Committee decision 68/2006.,The system should show approval for attestations within a package when a country's service provider checks them.
There MUST be an access policy that is issued by the economic operator that mandates a contracting authority to request attestation from the national VCD service provider on demand.,The operator must give a policy saying when the buyer can ask for proof from the government service.
This may include creating contracting authority specific or VCD specific references in order to identify a mandate that has been given by the economic operator to this contracting authority for retrieving attestation or even updates on it.,The contracting authority gets information from an economic operator about a task they were given.
National and local political commitments and service-level agreements MUST ensure that consensuses on roles and responsibilities are built with regard to this solution and in particular the National Service Providers who delivers attestations on demand.,"National and local leaders must agree on roles and responsibilities for this solution, especially for those who give proof when asked."
"There MUST be a service-level agreement between the parties involved (Economic Operators, Contracting authorities, National Service Providers, and Trusted Attestation Service) about the response time of a delivery of attestations and data availability.",There must be an agreement on how fast deliveries are made and when data is available.
"There MUST be a service-level agreement between the parties involved (Economic Operators, Contracting authorities, National Service Providers, and Trusted Attestation Service) about conflict resolution that describe what to do when errors occur or when attestation or translations cannot be delivered “on demand”.",There must be an agreement on how to resolve conflicts.
The attestations where an agreement on context specific formats can be reached most easily SHOULD be included first into the network.,Include easy agreements first.
Legal systems MUST ensure that context specific data and validation values have an equivalent value to the provision of conventional / traditional attestations.,Data must be the same as usual proof.
The national procurement law MUST ensure that National Service Provider can act as national validation points in accordance with Article 52 (1) of Directive 2004/18/EC for economic operators.,The law must let the provider be a validation point for companies.
Liability issues of the National Service Providers MUST be clarified when they act as national validation points in accordance with Article 52 (1) of Directive 2004/18/EC for economic operators.,National providers must clarify their liability issues when acting as national validation points.
"Stage 4 relies on several functionalities or concepts that have been already addressed and described
      in previous stages.",Stage 4 uses things we've talked about before.
Stage2: Compiling a VCD from several different kinds of data.,Compiling a video CD from different data.
Stage2 and 3: Implementation of direct access to issuing bodies and further description of interfaces to provide structural data of evidence and context specific data.,Stage 2 and 3: Get data directly from the people who issue it and describe how to get more information about a case.
Stage 3: A semantic standardisation of context specific data that describe the major contents of attestations which have a relatively uniform structure and uniform contents.,Stage 3: Standardize data about things with same structure and content.
For example a balance sheet could be much more easily represented electronically if a specific tender would only demand to fulfil a certain range of capital (e.g.,A balance sheet can be shown easier on computer if it only needs some money.
until 1 Million / from 1 Million to 10 / …) that has to be met by the economic operator.,"Until 1 million or from 1 million to 10, a condition must be met."
Stage 3: Possibilities to update a VCD and therewith enabling the national VCD service provider to take the role of a validation point in order to implement Article 52 of directive 2004/18/EC.,Update VCD to enable national provider to validate according to EU rules.
This first approach is extremely ambitious but the only way to always access actualised data.,This approach is very big and the only way to get real data.
This second approach could be implemented with lower efforts but leads to the situation that the data provided by the VCD package is in the end as actual as the data provided by a VCD package that is compiled using the concept from stage 3.,This way needs less work and gives same results as the other way.
"Already in 2003, the
    EC has published a working document, the European Interoperability Framework (EIF), where the
    authors defined IOP as “the means by which the interlinking of systems, information and ways of
    working, whether within or between administrations, nationally or across Europe, or with the enterprise
    sector, occurs” ((IDABC 2004), pp.","The EC published a document in 2003 that defined IOP as how systems, information, and work styles connect."
"The document recalls IOP needs on technical, semantic and
    organizational layer with a rather wide understanding of IOP (IDABC 2004).",The document talks about IOP needs in different ways.
"In late 2008 a draft for a
    revised European Interoperability Framework was published by IDABC extending the requirement for
    IOP to five levels12:
    The aim of this chapter is to draw a picture about the current situation applied in the countries with
    regard to potentially placement of a VCD in the MS according to the European Interoperability
    Framework version 2 (EIF2):","In 2008, IDABC published a draft for a revised framework."
The legal framework thereby refers to appropriate synchronization of the legislation in the cooperating MS so that electronic data originating in any given MS is accorded to proper legal weight and recognition wherever it needs to be used in other MS.,The law makes sure that data from one country gets the same respect as data from another country when it's used in a different country.
"This includes rules with regard to tendering, submission and awarding including certificates and attestations that are typically required and their mapping to evidences and exclusion and selection criteria from a legal point of view.",This includes rules for bidding and choosing winners.
The organizational framework then refers to the processes by which different organizations such as different public administrations collaborate to achieve their mutually agreed eGovernment service-related goals.,Organizations work together to reach shared goals.
"This includes best practices for tendering, submission and awarding derived from activities such as stakeholder analysis and stakeholder questionnaires that have been developed.",This includes good ways to do things like asking people questions and analyzing their answers.
"The semantic framework ensures that the precise meaning of exchanged information (concepts, organization, services, etc) is preserved and well understood.",The framework keeps meanings clear.
"The use cases of the stages
        above show the actors that are involved and have to be addressed through the organisational
        framework e.g.",The stages above show who is involved and needs to be helped.
"Within the project it will be necessary to manage these different kinds of stakeholders by
        adequately integrating them into the project.",Manage stakeholders in the project.
"Thereby it will be of importance to define their specific
        role and their importance for our work package within the lifetime of the project.",Define their role and importance in our project.
"Networks of gathering
        evidences are complex to handle because there are several stakeholders to consider.",Handling evidence networks is hard due to many people involved.
"To avoid
        problems of involvement a clear approach of stakeholder analysis is needed.",Avoid problems by analyzing stakeholders.
"WP2 can only provide
        guidance to this since it will be a national responsibility.",WP2 gives advice on this because it's someone else's job.
"Austria for example has set up a physical
        stakeholder forum that informs key stakeholder in regular time intervals about the results of PEPPOL.",Austria tells important people about PEPPOL results regularly.
"Next to this the WP2 team of Austria is building up a participation platform13 where latest results are
        presented and can be further discussed within forums and mini surveys.",Austria's WP2 team builds a website for sharing results and talking about them.
"Each member state has to
        define its own strategy to involve stakeholders during the lifetime of the project.",Each country decides how to work with others during a project.
"WP2 has developed a
        template for stakeholder management that may provide guidance for this.",WP2 made a plan to help with stakeholder management.
"To ensure a wide acceptance of the solutions provided by WP2 among stakeholders we have to
        prevent changes in national procedures and infrastructures but to utilize them as much as possible.",We must keep national procedures and infrastructure unchanged while using them as much as possible.
"In
        stages 2, 3 and 4 it will be necessary to establish a national service provider who will take care about
        critical VCD processes and therewith ensure legitimacy, trust and appropriate change management.","It will need a national service provider in stages 2, 3 and 4."
"These entities then need to
        be included into a list of recognized private and public issuing bodies which will be an important part
        when defining structural data of evidence (e.g.",These entities must be added to a list of known issuers.
"A national VCD
        application may list several different issuing bodies that provide the same attestation.",One app lists many groups that give same proof.
"However the choice which
        attestation is most appropriate should be left to the economic operator but this decision may be
        supported through displaying these different characteristics.",The choice of what to show depends on the company.
"If an economic operator for example
        decides to rely on a manual issuing service that cannot be directly invoked by a national service
        provider it is the responsibility of the economic operator to provide this attestation and act as issuing
        body by uploading it to the system of the national service provider in order to create a VCD package.",The economic operator must upload the attestation to the national service provider's system.
"National solutions therefore may vary due to freedom of implementing
        national solutions but conformance to key issues should ensure their interoperability.",National solutions can be different because countries are free to choose how they implement them. But they must still work together on important issues.
"A key issue for
        example is the pre-VCD mapping tool and it should be integrated into any national solutions either as
        a module or as interface to query results for the mapping of evidences among member states.",The pre-VCD mapping tool should be part of national solutions.
"To
        enable automated information processing on the basis of the pre-VCD mapping tool within national
        solutions additional structured information has to be defined within the Call for Tender that enables the
        retrieval of qualification and selection criteria from contracting authorities.",Enable automated info processing in national solutions by defining extra details in the Call for Tender so contractors can find qualification and selection criteria.
"A contracting authority
        therefore has to specify a relevant criteria subset within a Call for Tender which can then for example
        be referred to by an economic operator by providing the ID of a Call for Tender to the national solution.",The contracting authority must specify the relevant criteria in the call for tender and use its ID.
Two phased tendering is not explicitly foreseen by the VCD even if it might be used for this purpose.,VCD does not mention two-phased tendering.
"In
        most cases we do not see great efforts for economic operators in two-phased since many countries
        only required the submission of self-declarations.",Mostly we don't see big efforts from companies because they just send forms.
"None of the above mentioned solutions explicitly requires implementing Article 52 of directive
        2004/18/EC.",None require Article 52.
"In stages 3 and 4 a higher “level of
        decision making” is promoted and we see especially the provision of context specific data (stage 3)
        and the on demand approach (stage 4) as a pre-conditions that ease the establishment of lists of
        approved economic operators across borders.","In stages 3 and 4, decision making gets better. We see providing specific data (stage 3) and being able to ask for things when needed (stage 4) as helping to make lists of approved companies that can work together across borders."
"However if there is a country that wishes to enable
        such a proof in the VCD it can be done before but will require several manual efforts.",It can be done but takes effort.
"The requirements have to be fulfilled or further analysed
        and specified in the project lifetime in order to further draft the organisational framework for a VCD to a
        greater extend.",Requirements must be met or studied to create an organizational plan for a VCD.
"Description
          Article 52 describes that Member States may introduce either official lists of approved contractors,
          suppliers or service providers or certification by certification bodies established in public or private law.",Member States can use lists of approved people or companies or get certifications from certain groups.
"Requirement
          A list of recognized public authorities that are able to issue certain attestations in a particular Member
          State MUST be established.",A list of public authorities must be made for each country.
"Description
          Article 52 describes that Member States may introduce either official lists of approved contractors,
          suppliers or service providers or certification by certification bodies established in public or private law.",Member States can use lists of approved people or companies or get certifications from organizations.
"Requirement
          A list of recognized private entities that are able to issue certain attestations in a particular Member
          State SHOULD be established.",A list of private groups should be made for each country.
"Description
          Widely accepted national procedures and infrastructures in requesting, issuing, exchanging, collecting,
          assembling, proving and submitting evidence should be utilized wherever possible in order to improve
          acceptance of a solution and in order to lower the complexity of the domain.",Use standard procedures whenever possible to make things simpler.
"Requirement
          Widely accepted national procedures and infrastructures SHOULD be utilized wherever possible.",Use widely accepted procedures and infrastructure whenever you can.
"Description
          The common ground for WP2 is the establishment of national pilot solutions that ensure
          interoperability of attestations across Member States.",National pilots ensure attestation sharing between countries.
"Any national pilot solution that will be developed using resources of
          PEPPOL must use the pre-VCD mapping tool in order to achieve the desired objectives.",Use the pre-VCD mapping tool when developing a national pilot solution with PEPPOL resources.
"Requirement
          Any national pilot solution that will be developed in the context of PEPPOL WP2 has to follow the pre-
          VCD mapping defined in stage 1.",Any national pilot must use the pre-VCD mapping from stage 1.
"Conformance between the processing of different national VCD services has to be ensured, monitored
          and surveyed by a European VCD service provider that needs to be set up with defined
          responsibilities and procedures.","A European company must ensure, check and monitor how different countries process VCDs."
"Measurement
          VCD packages need to provide mapping functionality with the pre-VCD mapping tool",Measure packages need a map tool.
"Specific national
          functionalities of pilot solutions therefore are not subject to discussions and agreements between
          different WP partners as long as they follow the common interoperability guidelines of the
          specification.",National functionalities are not discussed if they follow the same rules.
"Requirement
          National implementations of VCD systems and their functions are no subject to discussions and
          agreements between WP partners as long as they follow common interoperability guidelines that will
          be monitored by the European VCD Service Provider.",National VCD systems must follow common rules.
"Measurement
          Conformance with common interoperability guidelines that will be monitored by the European VCD
          Service Provider.",Follow European rules.
"Description
          Article 5215 describes that EU Member States may introduce either official lists of approved
          contractors, suppliers or service providers or certification by certification bodies established in public or
          private law.",EU countries can use lists of approved people or companies or get a certificate from an organization.
"Pilots implemented in stages 1, 2, 3 and 4 produce VCD artefacts that enable matching between
          attestations and certain criteria across borders and the implementation of the VCD package.",Pilots make a special kind of error that helps match things from different countries.
"This does
          not include that any check or proof of conformance is performed by any national service provider who
          provides a VCD package with regard to the contents of the package and its attestation as for example
          describe in Article 52 of the directive (“official lists of approved contractors, suppliers or service
          providers”).",This does not check if a provider follows rules.
"Nevertheless any stage may be implemented according to
          Article 52 if there is adequate legal basis within a country and if there is political commitment for doing
          so.",Any stage can happen if it's allowed by law in that country and the government agrees.
"Requirement
          A national pilot solution may implement attestation validation feature but proof of conformance and
          checking is not a mandatory feature that has to be fulfilled by a national service provider.","A national pilot solution can have an attestation validation feature, but it's not required for a national service provider."
"Measurement
          National Service Provider does not have to approve the documents submitted by economic operators
          Requirement
          Any of the proposed stages SHOULD be applicable within a Member State who wishes to apply Article
          52 and EFTA EEA Committee decision 68/2006.",National Service Providers do not need to approve documents from businesses.
"Requirement
          A Member State MUST formally define an authority that is able to provide a proof of conformance to
          certain criteria if the Member State wishes to implement Article 52 or if Article 52 is already
          implemented.",A member state must say who can prove it meets certain rules.
"Measurement
          Authority that takes the role of validation point and Article 52 implemented.",Validation authority implements Article 52.
"Description
          A contracting authority sends a notification on a Call for Tender to a Publication body that publishes
          the call.",The contracting authority tells the publication body about the tender.
"If an economic operator decides to participate in a
          particular Call for Tender he can directly retrieve the relevant criteria and evidences by using the
          information published in the Call for Tender.","If you join a tender, you can get the rules and proof from the tender itself."
"Having
          the relevant criteria in place the economic operator will be enabled to get a mapping to the national
          attestations that refer to those criteria via the pre-VCD mapping tool.",The operator can use the tool to map to national attestations.
"Requirement
          The contracting authority has to specify a subset of the superset of criteria that is relevant to a specific
          Call for Tender so that any VCD application can perform the mapping later on
          Measurement
          Development of standard template for specifying criteria as part of tender-specific data","The contracting authority must specify which criteria are important for each call for tender, so that applications can map them later."
"Description
          If an economic operator decides to participate in a particular Call for Tender he can directly retrieve
          information about relevant evidences and related criteria by using the information published in the Call
          for Tender.","If you join a tender, you can get info from the call."
"Having the relevant evidences and
          criteria in place the economic operator will be enabled to get a mapping to the national attestations
          that refer to those criteria via the pre-VCD mapping tool.",The operator gets a map to national attestations using the pre-VCD tool with relevant evidence and criteria.
"The economic operator therefore has to
          provide a subset of the superset of evidences that is relevant to a specific Call for Tender to its
          National Service Provider or VCD system.",Provide evidence needed for the tender to the provider.
"Requirement
          Any VCD system must have an interface to provide tender-specific data and (in particular the relevant
          criteria subset) in order to perform the mapping.",VCD systems need an interface for specific data and criteria.
"Description
          There are often multiple issuing bodies available which provide evidence of the same kind but with
          different characteristics such as cheap issuing services and fast issuing services.","There are many groups that give proof of something, but they do it in different ways."
"The requestor has to
          decide by himself which issuing service is most appropriate to satisfy his needs.",He decides what service he needs.
"Requirement
          If there are multiple ways to provide evidence the choice of selecting a specific issuing service is left to
          the requester.","If there are many ways to show proof, you can choose which one to use."
"Measurement
          Functionality and interface to select issuing services",Choose service options.
Economic Operators that act as Issuing Bodies,Economic operators that issue things.
"Description
          Any VCD system relies on issuing services that cannot directly invoked electronically.",VCD systems use services that can't be used electronically.
"Often the VCD
          system will have the possibility to specify the issuing services that are needed to evidence certain
          criteria e.g.",VCD system can choose which services it needs for proof.
"candidate statements or attestations from third parties that are not available in electronic
          format.",Paper statements from people who aren't online.
"Requirement
          An economic operator MUST be able to act as an issuing body for candidate statements or other
          evidence that cannot be directly or electronically retrieved by the VCD system.",An economic operator must get information that is not available through the computer system.
"Measurement
          Functionality and interface that enable economic operator to upload any kind of evidence to the VCD",Upload evidence.
"Traditionally only larger organizations have been
          able to take advantage of e-business primarily due to the cost barrier.",Larger groups could not use e-business before because it was too expensive.
"The evolution on the Internet
          has shown that as soon as the barrier for entry is lowered enough – even the smallest organizations
          will take advantage of the new technology.",Internet use shows small groups join when it's easy to start.
"It is therefore important that when new technology is
          established that the barrier for taking up the technology is sufficiently low.” (Bausa O. and Boujraf A.",New tech should be easy to use.
"2009)
          Requirement
          The electronic procurement framework MUST support organizations of any size and industry.",The framework must support all sizes and industries.
"Description
          WP2 concentrates on pre-awarding issues where requirements and procedures are often strict due to
          principles like equal treatment, non-discrimination, transparency, competition etc.","WP2 focuses on strict rules about fairness, equality, and openness."
"Although a VCD
          does not include the offer itself it provides several documents that are of great importance for the
          award of contracts and therewith critical for the success of an economic operator for example in cases
          of disqualification because of late delivery of a VCD.","A VCD doesn't have the offer, but it has important documents that help with getting contracts."
"To avoid those problems testing of VCD should
          be done by reprocessing historical tenders.",Test old tenders again.
"A national solution will only
          be authorized to operate cross-border when all tests are passed; the testing has to be maintained and
          monitored by the European VCD Service Provider.","National solution operates across borders after passing all tests, with European provider monitoring."
"With
        the consideration of data object and document flow, a disambiguation of the terms used is reasonable
        to clarify the concepts.",Consider data objects and documents. Clarify what they mean.
"structure and style), organisational properties (functional relation, version, indexing in
        a filing plan), content, document type (storage obligations, legal character, editability), time stamping
        (creation, expiry, last access), editors (sender, creator, author) and users (receiver, (last) editor,
        reader).","Structure, content, and editing of documents."
"Official documents need to fulfil specific requirements like completeness, integrity and transparency.","Documents must be complete, honest, and clear."
"Apart from this, they also need to conform to the legality principle of administrative actions and to audit
        trails.",They must follow laws and keep records.
"A file (record) is a factual and task-related arrangement and collection of documents which
        belong together.",A file is a group of related papers.
The goal is to keep the content available and traceable at any time.,Keep content available always.
"This chapter describes the semantic framework of work package 2 that comprise solutions for the VCD
        from the data perspective.",This chapter explains Work Package 2's solutions for VCD from a data point of view.
"Thereby different data perspectives have to be separated that
        comprise a VCD:",Separate different views of data in a VCD.
Structural data of VCD-Package: Data that describe a VCD package,VCD package details
Economic operator data: Data that describe an economic operator,Economic operator info
Tender specific data: Data that describe a specific Call for Tender,Specific data about one call.
Structural data of evidence: Data that describe the structure of an attestation,Data about how something is proven.
Context specific data: Data that describe the content of an evidence.,Data about what something says.
Validation data: Data that describe the validation of a certain criteria.,Validation data is about checking something.
"stage2:
        visualisation of a VCD), sending / receiving data elements (e.g.",Show pictures from a CD and send/receive small pieces of information.
"To further clarify their interrelation we take the
        research by (Russel N., Hofsteded A.H.M.",Research by Russel and Hofsteded explains.
"2005) of data occurrences in systems into account
        that characterize following categories:",Count all events from 2005.
"The following subsections contain major standards and methodologies that shall be used for creating
        a VCD package.",These sections have important rules to make a VCD package.
"Beside this CEN BII16 develops a VCD
        profile that can be interpreted and used by systems based on both UN/CEFACT and UBL.",CEN BII16 makes a VCD profile for systems using UN/CEFACT or UBL.
"A selection of such documents will be included in any VCD; they will be produced by national units
          according to national legislation.",National units will produce these documents according to their own laws and include them in a VCD.
This means that their content of data and information will vary.,Their data is different.
This means that the records of these documents need to be tagged for the processing.,Records must be labeled for processing.
"Tagged records, information and data can be processed by independent systems and applications
          only if the constraining tags or metadata are recognized by the different processing parties.",Systems process tagged info if they know the tags.
"ISO
          1117919 offers such a methodology that is widely accepted.",ISO 11179 offers a widely accepted method.
"The purpose of ISO/IEC 11179 is to give concrete guidance on the formulation and maintenance of
          discrete data element descriptions and semantic content (metadata) that shall be used to formulate
          data elements in a consistent, standardized manner.",ISO/IEC 11179 helps with describing data elements clearly and consistently.
"CEN BII is addressing the convergence between UN/CEFACT and UBL by working out neutral
          descriptions called profiles that are describing business operational units of business functionality, like
          the VCD.",CEN BII is making a list of simple descriptions to help different groups talk about business operations.
"The CEN BII VCD profile will be a document that can be interpreted and used by systems
          based on both UN/CEFACT and on UBL.",The document is for systems using UN/CEFACT or UBL.
"Hence, the use of ISO 15489 and ISO 11179 leads to
          standardised records and information management that can be automated in existing structures.",Use ISO standards for better record keeping.
PEPPOL WP2 is investigating how to apply ISO 15489 to describe the structure and content of:,PEPPOL WP2 looks at using ISO 15489 for describing data structures.
"The requirements have to be fulfilled or further analysed and
        specified in the project lifetime in order to further draft the semantic framework for a VCD to a greater
        extend.",The requirements must be met or studied to make a plan for a VCD.
"“To run real electronic business transactions without human intervention, semantic interoperability
          must be achieved.",Business needs to work automatically with computers.
"Outcomes from CEN BII are syntax neutral,
          which means that different syntaxes can be bound to the semantic requirements for the documents to
          be exchanged meaningfully despite their syntax.",Different ways of writing things can still be understood.
"Even if syntax interoperability is not achieved in a pan-European framework, it has to be possible to
          transform from a syntax vocabulary to another one without loosing.",It must be possible to change from one set of rules to another without losing.
"It is
          required to work on the semantic interoperability for electronic attestations and certificates that
          requires not only semantic alignment but legal alignment in Europe.”(Bausa O. and Boujraf A.",It's needed to make electronic documents compatible in Europe.
"2009)
          Requirement
          Evidential documents exchanged between parties MUST be semantically harmonized in order
          to be processed electronically.",Electronic processing requires harmonized documents.
"Description
          National criteria for qualitative selection and exclusion should be formulated in a way that they can be
          mapped to European criteria for qualitative selection and exclusion mentioned by the Articles 45-50.",National criteria should match European criteria.
"Requirement
          National criteria for qualitative selection and exclusion MUST correspond to European criteria which
          are derived from Article 45-50 and which are partially described in the Eligibility of Tenders.",National criteria must match European criteria based on Articles 45-50 and the Tender Eligibility rules.
"Description
          Any instance of a VCD requires to be defined for a particular economic operator.",A VCD must be defined for an economic operator.
"Next to this it is the
          aim of the work package to make each VCD specific to a particular Call for Tender.",This aims to make each VCD specific to one call.
"The pre-VCD
          mapping tool therefore will provide sufficient support and has to be integrated into a VCD system.",The tool will help with a VCD system.
A unique VCD identifier needs to be established.,A special ID is needed.
"Description
          A VCD package will show its full potential only when all requested evidences (all that are necessary to
          prove all the requested criteria) are contained within it.",A VCD package works best with all needed proof.
"From a very pragmatic point
          of view it seems reasonable to focus on a subset of attestations in a first step and to complete the
          VCD Package later on.","Focus on some examples first, then finish the package later."
"It is also reasonably to define, where and when permitted, a default packaging
          list of tender independent criteria to be served without the burden of reading or interpreting the “Call
          for Tender”.",Define a standard list of requirements that can be used without reading the full request.
"Requirement
          When implementing any tool, system or service WP2 MUST focus on mandatory requirements and
          evidences mentioned in Articles 45 and 46 first since theses Articles are not tender-specific and
          therewith relevant for nearly all tenders.","When using a tool, system or service, focus on essential rules and proof first because they apply to almost all tenders."
"Measurement
          Any definition, specification, modelling or implementation will first focus on Article 45 to 46
          Requirement
          The mapping between evidences via requirements MUST have set a primary focus on the mandatory
          requirements and evidences of a VCD.",Measurement focuses on Articles 45-46.
"Measurement
          The definition, specification, modelling or implementation of the pre-VCD mapping tool will focus on
          Articles 45 to 46
          Requirement
          Articles 47 to 50 open a wide range of different criteria which are tender- and country-specific thus
          they MUST be added stepwise to the pre-VCD mapping tool (which may require a higher-level
          mapping).",The definition will focus on articles 45 to 46. It must add specific criteria from articles 47 to 50 step by step.
"Requirement
          Any VCD system SHOULD provide the opportunity to the economic operator to produce a complete
          VCD even if there are several issuing services that are not under control of a national service provider,
          do not have specific mapping to other documents defined in the pre-VCD mapping tool and have to be
          provided by the economic operator manually.",The system should let the company make a complete VCD even if some services are not controlled by one provider.
"Description
          Since the completeness of a VCD package should be ensured but a complete mapping of evidence
          may not be provided as especially the criteria of Articles 49 to 50 of the directive are unstructured and
          much dependent on tender-specific requirements it has to be possible to define placeholders where a
          contracting authority may complete the mapping on individual basis through uploading evidence to
          these placeholders.","A VCD package should be complete, but criteria for completeness are unclear. A contracting authority can add missing information later."
"Description
          The VCD system should provide a functionality that allows issuing bodies to submit evidence to it.",Bodies can send proof.
Therefore interfaces to submit evidence to the VCD system have to be defined.,Interfaces must be defined for submitting evidence to the VCD system.
"Thereby manual, semiautomated
          and automated interfaces have to be separated
          Requirement
          Interfaces to submit evidence to the VCD system have to be defined along with common semantics in
          order to allow issuing bodies to further specify evidence with regard to structural data, context specific
          data and validation values.","Manual, semi-automated, and automated interfaces must be separated. Interfaces for submitting evidence to the VCD system must be defined with common meanings so that issuing bodies can add more details about structure, context, and validation."
